,true_n,n,posterior
926,27,31,0.009603717
927,28,31,0.04835195
928,29,31,0.14125934
929,30,31,0.16984232
930,1,32,2.841728e-20
931,2,32,2.9375335e-22
932,3,32,1.9134733e-18
933,4,32,2.5172036e-15
934,5,32,2.0237046e-16
935,6,32,2.3446814e-15
936,7,32,7.3412495e-14
937,8,32,3.6569038e-16
938,9,32,1.7992427e-14
939,10,32,2.091559e-16
940,11,32,1.3224837e-20
941,12,32,6.746176e-24
942,13,32,7.024705e-30
943,14,32,3.7516218e-38
944,15,32,7.156776e-17
945,16,32,2.0685111e-13
946,17,32,2.0095492e-15
947,18,32,4.325074e-12
948,19,32,3.3554481e-09
949,20,32,2.7788786e-07
950,21,32,6.431752e-07
951,22,32,3.8015773e-05
952,23,32,3.3837964e-06
953,24,32,4.5898036e-05
954,25,32,0.00030722513
955,26,32,0.00084543263
956,27,32,0.0013965807
957,28,32,0.045373544
958,29,32,0.080754586
959,30,32,0.09205003
960,1,33,2.593733e-20
961,2,33,2.7398366e-22
962,3,33,1.7250093e-18
963,4,33,2.2441587e-15
964,5,33,1.9200628e-16
965,6,33,2.4329368e-15
966,7,33,3.6522712e-14
967,8,33,6.8159934e-17
968,9,33,4.772877e-14
969,10,33,1.146486e-15
970,11,33,3.8632504e-19
971,12,33,3.2703568e-22
972,13,33,2.337804e-27
973,14,33,2.1010793e-35
974,15,33,6.206734e-19
975,16,33,3.4352217e-15
976,17,33,5.335132e-18
977,18,33,5.1203284e-14
978,19,33,1.12539124e-10
979,20,33,5.852163e-08
980,21,33,2.0803835e-16
981,22,33,2.581385e-13
982,23,33,9.979807e-11
983,24,33,1.4548039e-07
984,25,33,3.5188983e-05
985,26,33,0.0002567456
986,27,33,0.00018771067
987,28,33,0.0018436562
988,29,33,0.068402946
989,30,33,0.09600507
990,1,34,2.3336303e-20
991,2,34,2.5592526e-22
992,3,34,1.5688958e-18
993,4,34,2.0202856e-15
994,5,34,1.6529017e-16
995,6,34,2.3860372e-15
996,7,34,8.0062184e-14
997,8,34,6.887853e-16
998,9,34,7.6893495e-14
999,10,34,4.9955958e-15
1000,11,34,7.480811e-18
1001,12,34,9.214683e-21
1002,13,34,3.2964032e-27
1003,14,34,5.8369385e-33
1004,15,34,4.8476754e-38
1005,16,34,2.5501073e-17
1006,17,34,6.899383e-17
1007,18,34,2.5742734e-16
1008,19,34,1.9829954e-12
1009,20,34,5.2969966e-09
1010,21,34,2.0173667e-13
1011,22,34,9.536124e-11
1012,23,34,2.365828e-09
1013,24,34,6.6109476e-07
1014,25,34,2.6293763e-05
1015,26,34,0.00014290444
1016,27,34,0.00012578143
1017,28,34,0.0013791503
1018,29,34,0.012001786
1019,30,34,0.04174222
1020,1,35,2.0652976e-20
1021,2,35,2.4059947e-22
1022,3,35,1.428306e-18
1023,4,35,1.8028836e-15
1024,5,35,1.4281153e-16
1025,6,35,1.8657978e-15
1026,7,35,3.2509443e-14
1027,8,35,6.64313e-17
1028,9,35,1.2317412e-13
1029,10,35,1.6624929e-14
1030,11,35,9.99513e-17
1031,12,35,1.114294e-19
1032,13,35,1.4389937e-23
1033,14,35,8.313291e-31
1034,15,35,5.5082195e-36
1035,16,35,2.9834224e-20
1036,17,35,2.2043708e-16
1037,18,35,2.2970227e-13
1038,19,35,1.3787589e-14
1039,20,35,1.2339516e-10
1040,21,35,1.6059933e-09
1041,22,35,4.344459e-07
1042,23,35,6.252723e-08
1043,24,35,3.286287e-06
1044,25,35,1.4581483e-05
1045,26,35,8.260485e-05
1046,27,35,6.724219e-05
1047,28,35,0.0010409759
1048,29,35,0.00058941275
1049,30,35,0.0038517714
